atmid,datetime,seg_st_mea,NAME,ROUTE_ID,month,day,hour,year
2796603555,8/3/2021 11:18,2.1917,Polk,S001910235E,8,3,11,2021
2797099347,8/3/2021 12:22,177.2724,Polk,S001910080W,8,3,12,2021
2799246688,8/3/2021 17:01,113.0514,Story,S001910035S,8,3,17,2021
2799284793,8/3/2021 17:07,113.3511,Story,S001910035S,8,3,17,2021
2799330588,8/3/2021 17:13,0.2774,Pottawattamie,S001910480W,8,3,17,2021
2805302956,8/4/2021 6:03,8.1557,Polk,S001910235W,8,4,6,2021
2807163195,8/4/2021 10:04,237.6149,Johnson,S001910080E,8,4,10,2021
2807395820,8/4/2021 10:35,56.0338,Linn,S001910380S,8,4,10,2021
2807506802,8/4/2021 10:49,184.325,Dallas,S001910080W,8,4,10,2021
2808162719,8/4/2021 12:15,63.8073,Johnson,S001910080W,8,4,12,2021
2809220737,8/4/2021 14:32,152.5459,Jasper,S001910080E,8,4,14,2021
2813616563,8/4/2021 23:55,183.0932,Polk,S001910080W,8,4,23,2021
2817026863,8/5/2021 7:13,125.1605,Polk,S001910035N,8,5,7,2021
2821548852,8/5/2021 16:57,167.3244,Polk,S001910080W,8,5,16,2021
2821803739,8/5/2021 17:30,120.9424,Dallas,S001910080E,8,5,17,2021
2822011849,8/5/2021 17:56,148.0451,Woodbury,S001910029N,8,5,17,2021
2829642803,8/6/2021 10:17,65.0512,Johnson,S001910380S,8,6,10,2021
2832476866,8/6/2021 16:22,139.422,Polk,S001910080E,8,6,16,2021
2846109424,8/7/2021 21:32,173.1732,Polk,S001910080W,8,7,21,2021
2848428739,8/8/2021 2:30,121.3466,Dallas,S001910080E,8,8,2,2021
2855780621,8/8/2021 18:20,147.6891,Jasper,S001910080W,8,8,18,2021
2863277062,8/9/2021 10:25,126.7837,Polk,S001910035N,8,9,10,2021
2863730429,8/9/2021 11:24,299.838,Scott,S001910080E,8,9,11,2021
2866747747,8/9/2021 17:56,48.2453,Linn,S001910380S,8,9,17,2021
2867058940,8/9/2021 18:37,185.817,Dallas,S001910080W,8,9,18,2021
2872766825,8/10/2021 6:58,0.7997,Johnson,S001910380N,8,10,6,2021
2877614802,8/10/2021 17:31,9.8475,Polk,S001910235W,8,10,17,2021
2885621288,8/11/2021 10:59,98.3044,Pottawattamie,S001910029S,8,11,10,2021
2887298738,8/11/2021 14:41,136.6204,Polk,S001910035N,8,11,14,2021
2888251313,8/11/2021 16:46,13.942,Polk,S001910235E,8,11,16,2021
2888514818,8/11/2021 17:21,177.2724,Polk,S001910080W,8,11,17,2021
2893711776,8/12/2021 4:41,2.0921,Polk,S001910235W,8,12,4,2021
2894827628,8/12/2021 7:05,119.5384,Polk,S001910035S,8,12,7,2021
2896880584,8/12/2021 11:32,99.611,Pottawattamie,S001910029S,8,12,11,2021
2898390344,8/12/2021 14:48,9.5071,Polk,S001910235W,8,12,14,2021
2899053305,8/12/2021 16:14,8.6277,Polk,S001910235W,8,12,16,2021
2900762673,8/12/2021 19:53,12.6544,Polk,S001910235W,8,12,19,2021
2904224695,8/13/2021 3:20,88.729,Polk,S001910035N,8,13,3,2021
2906227461,8/13/2021 7:39,54.1536,Linn,S001910380S,8,13,7,2021
2913329519,8/13/2021 23:16,128.5631,Jasper,S001910080W,8,13,23,2021
2915945723,8/14/2021 4:55,152.7398,Jasper,S001910080W,8,14,4,2021
2924486574,8/14/2021 23:24,221.549,Iowa,S001910080E,8,14,23,2021
2939430489,8/16/2021 7:52,0.2774,Pottawattamie,S001910480W,8,16,7,2021
2953666338,8/17/2021 14:53,139.3836,Polk,S001910080E,8,17,14,2021
2954134218,8/17/2021 15:54,124.4772,Polk,S001910035N,8,17,15,2021
2954781245,8/17/2021 17:18,13.8277,Polk,S001910235W,8,17,17,2021
2954894581,8/17/2021 17:33,9.948,Polk,S001910235W,8,17,17,2021
2955055123,8/17/2021 17:54,3.7583,Polk,S001910235E,8,17,17,2021
2961606796,8/18/2021 8:04,129.5574,Polk,S001910035S,8,18,8,2021
2962576498,8/18/2021 10:11,127.7118,Jasper,S001910080W,8,18,10,2021
2963914245,8/18/2021 13:05,92.8012,Iowa,S001910080W,8,18,13,2021
2974154531,8/19/2021 11:18,126.8845,Polk,S001910035N,8,19,11,2021
2974405058,8/19/2021 11:51,16.367,Linn,S001910380N,8,19,11,2021
2975734963,8/19/2021 14:46,50.8129,Linn,S001910380S,8,19,14,2021
2976644707,8/19/2021 16:45,54.4033,Linn,S001910380S,8,19,16,2021
2976743454,8/19/2021 16:58,24.2805,Linn,S001910380N,8,19,16,2021
2984979669,8/20/2021 10:56,64.7554,Johnson,S001910080W,8,20,10,2021
2985982166,8/20/2021 13:07,62.2086,Johnson,S001910080W,8,20,13,2021
2986597025,8/20/2021 14:27,138.2031,Polk,S001910080E,8,20,14,2021
2988724754,8/20/2021 19:04,66.0949,Johnson,S001910080W,8,20,19,2021
3007045747,8/22/2021 11:01,127.7118,Jasper,S001910080W,8,22,11,2021
3012733519,8/22/2021 23:27,99.2503,Pottawattamie,S001910029S,8,22,23,2021
3015716380,8/23/2021 6:00,71.0115,Black Hawk,S001910380N,8,23,6,2021
3016382557,8/23/2021 7:27,52.65,Linn,S001910380S,8,23,7,2021
3016717162,8/23/2021 8:11,52.5592,Linn,S001910380S,8,23,8,2021
3019178494,8/23/2021 13:43,243.5683,Johnson,S001910080E,8,23,13,2021
3020940460,8/23/2021 17:42,104.6759,Pottawattamie,S001910029S,8,23,17,2021
3020957474,8/23/2021 17:45,7.3088,Polk,S001910235W,8,23,17,2021
3020983787,8/23/2021 17:48,201.4177,Poweshiek,S001910080E,8,23,17,2021
