Crash_Key,Crash,Start_Hour,Start_Minute,End_Hour,End_Minute,Start_Measure,End_Measure
7486435801,nc,6,50,7,0,50,50.5
7486435801,nc,7,0,7,10,50,50.5
7486435801,nc,7,10,7,20,50,50.5
7486435801,nc,7,20,7,30,50,50.5
7486435801,nc,12,0,12,10,120,120.5
7486435801,ac,12,10,12,20,120,120.5
7486435801,c,12,20,12,30,120,120.5
7486435801,c,12,30,12,40,119,119.5
7486435801,c,12,30,12,40,119.5,120
7486435801,c,12,40,12,50,119,119.5
7486435801,c,12,40,12,50,119.5,120
7486435801,c,12,50,13,0,119,119.5
7486435801,c,12,50,13,0,119.5,120
7486435801,c,12,50,13,0,120,120.5
7486435801,nc,13,0,13,10,120,120.5
7510838470,nc,15,55,16,5,172.5,173
7510838470,ac,16,5,16,15,172.5,173
7510838470,c,16,15,16,25,171,171.5
7510838470,c,16,15,16,25,171.5,172
7510838470,c,16,15,16,25,172,172.5
7510838470,c,16,15,16,25,172.5,173
7510838470,nc,16,25,16,35,170,170.5
7510838470,c,16,25,16,35,170.5,171
7510838470,c,16,25,16,35,171,171.5
7510838470,c,16,25,16,35,171.5,172
7510838470,c,16,25,16,35,172,172.5
7510838470,c,16,25,16,35,172.5,173
7510838470,nc,16,35,16,45,169.5,170
7510838470,c,16,35,16,45,170,170.5
7510838470,c,16,35,16,45,170.5,171
7510838470,c,16,35,16,45,171,171.5
7510838470,c,16,35,16,45,171.5,172
7510838470,c,16,35,16,45,172,172.5
7510838470,c,16,35,16,45,172.5,173
7510838470,c,16,45,16,55,170,170.5
7510838470,c,16,45,16,55,170.5,171
7510838470,c,16,45,16,55,170.5,171.5
7510838470,ac,16,45,16,55,171.5,172
7510838470,ac,17,25,17,35,169.5,170
7510838470,ac,17,25,17,35,170,170.5
7510838470,ac,17,25,17,35,170.5,171
7510838470,ac,17,25,17,35,171,171.5
7510838470,ac,17,25,17,35,171.5,172
7510838470,ac,17,25,17,35,172,172.5
7510838470,ac,17,25,17,35,172.5,173
7511362619,ac,16,0,16,10,173,173.5
7511362619,ac,16,0,16,10,173.5,174
7511362619,c,16,10,16,20,173,173.5
7511362619,c,16,10,16,20,173.5,174
7511362619,c,16,20,16,30,173,173.5
7511362619,c,16,20,16,30,173.5,174
7511362619,c,16,30,16,40,173,173.5
7511362619,c,16,30,16,40,173.5,174
7511362619,nc,17,0,17,10,173,173.5
7511362619,nc,17,10,17,20,173,173.5
7511362619,nc,17,20,17,30,173,173.5
7511362619,nc,17,30,17,40,173,173.5
7524999387,nc,18,0,18,10,3,3.5
7524999387,nc,18,10,18,20,3,3.5
7524999387,nc,18,20,18,30,3,3.5
7524999387,nc,18,30,18,40,3,3.5
7524999387,nc,18,40,18,50,3,3.5
7524999387,nc,18,50,19,0,3,3.5
7530611039,c,7,45,7,55,4,4.5
7530611039,c,7,45,7,55,4.5,5
7530611039,c,7,45,7,55,5,5.5
7530611039,c,7,55,8,5,4,4.5
7530611039,c,7,55,8,5,4.5,5
7530611039,c,7,55,8,5,5,5.5
7530611039,c,8,5,8,15,4,4.5
7530611039,c,8,5,8,15,4.5,5
7530611039,c,8,5,8,15,5,5.5
7530611039,c,8,15,8,25,4,4.5
7530611039,c,8,15,8,25,4.5,5
7530611039,c,8,15,8,25,5,5.5
7530611039,c,8,25,8,35,4,4.5
7530611039,c,8,25,8,35,4.5,5
7530611039,c,8,25,8,35,5,5.5
7530611039,c,8,35,8,45,4,4.5
7530611039,c,8,35,8,45,4.5,5
7530611039,c,8,35,8,45,5,5.5
7556333634,c,12,30,12,40,136,136.5
7556333634,c,12,30,12,40,136.5,137
7556333634,c,12,40,12,50,136,136.5
7556333634,c,12,40,12,50,136.5,137
7556786591,ac,12,50,13,0,119.5,120
7556786591,c,13,0,13,10,119,119.5
7556786591,c,13,0,13,10,119.5,120
7556786591,c,13,10,13,20,118,118.5
7556786591,c,13,10,13,20,118.5,119
7556786591,c,13,10,13,20,119,119.5
7556786591,c,13,20,13,30,118,118.5
7556786591,c,13,20,13,30,118.5,119
7556786591,c,13,30,13,40,118,118.5
7556786591,c,13,30,13,40,118.5,119
7556786591,c,13,40,13,50,118.5,119
7571383769,c,19,0,19,10,5.75,6.25
7571383769,c,19,0,19,10,6,6.5
7571383769,c,19,10,19,20,5.75,6.25
7571383769,c,19,10,19,20,6,6.5
7571383769,c,19,20,19,30,5.75,6.25
7571383769,c,19,20,19,30,6,6.5
7571383769,c,19,30,19,40,5.75,6.25
7571383769,c,19,30,19,40,6,6.5
7571383769,c,19,40,19,50,5.75,6.25
7571383769,c,19,40,19,50,6,6.5
7571383769,c,19,50,20,0,5.75,6.25
7571383769,c,19,50,20,0,6,6.5
7571383769,c,20,0,20,10,5.75,6.25
7571383769,c,20,0,20,10,6,6.5
7571383769,c,20,10,20,20,5.75,6.25
7571383769,c,20,10,20,20,6,6.5
7571383769,c,20,20,20,30,5.75,6.25
7571383769,c,20,20,20,30,6,6.5
7577928536,c,7,35,7,45,150.75,151.25
7577928536,c,7,45,7,55,150,150.5
7577928536,c,7,45,7,55,150.75,151.25
7577928536,c,7,55,8,5,150,150.5
7577928536,c,8,5,8,15,150,150.5
7579440006,c,11,20,11,30,54,54.5
7579440006,c,11,20,11,30,54.5,55
7579440006,c,11,25,11,35,53.5,54
7579440006,c,11,30,11,40,54,54.5
7579440006,c,11,30,11,40,54.5,55
7600609183,c,7,20,7,30,298.5,299
7600609183,c,7,30,7,40,296.5,297
7600609183,c,7,30,7,40,297,297.5
7600609183,c,7,30,7,40,297.5,298
7600609183,c,7,30,7,40,298,298.5
7600609183,ac,7,30,7,40,298.5,299
7600609183,c,7,40,7,50,296.5,297
7600609183,c,7,40,7,50,297.5,298
7600609183,c,7,40,7,50,298,298.5
7600609183,c,8,0,8,10,297.5,298
7600609183,c,8,10,8,20,297.5,298
7600609183,c,8,20,8,30,297.5,298
7617565492,c,19,20,19,40,2.5,3
7617565492,c,19,40,19,50,2.5,3
7617565492,ac,21,0,21,10,2.5,3
7617565492,ac,21,0,21,10,3,3.5
7617565492,c,21,10,21,20,2.5,3
7617565492,c,21,20,21,30,2.5,3
7617565492,c,21,30,21,40,2.5,3
7617565492,ac,21,40,21,50,2.5,3
7628517540,ac,17,50,18,0,138.5,139
7628517540,c,17,55,18,5,138,138.5
7628517540,c,18,0,18,10,138.5,139
7628517540,c,18,5,18,15,138,138.5
7628517540,c,18,10,18,20,138.5,139
7628517540,c,18,20,18,30,138.5,139
7628517540,c,18,25,18,35,138,138.5
7628517540,c,18,30,18,40,138.5,139
7628517540,c,18,35,18,45,138,138.5
7639657269,c,16,15,16,25,15,15.5
7639657269,c,16,25,16,35,14.5,15
7639657269,c,16,25,16,35,15,15.5
7639657269,c,16,35,16,45,15,15.5
7805471637,ac,16,0,16,10,113.5,114
7805471637,c,16,0,16,10,114,114.5
7805471637,ac,16,0,16,10,114.5,115
7815446407,c,11,45,11,55,118,118.5
7815446407,c,11,45,11,55,118.5,119
7815446407,c,11,45,11,55,118.75,119.25
7815446407,c,11,55,12,5,118,118.5
7815446407,c,11,55,12,5,118.25,118.75
7815446407,c,11,55,12,5,118.5,119
7815446407,c,12,35,12,45,118,118.5
7815446407,c,12,45,12,55,118,118.5
7815446407,c,12,55,13,5,118,118.5
7815446407,c,13,10,13,20,119,119.5
7815446408,c,8,15,8,25,63,53.5
7815446409,c,8,15,8,25,63.5,64
7815446409,c,8,15,8,25,64,64.5
7850045049,c,9,30,9,40,240,240.5
7850045049,ac,9,30,9,40,240.5,241
7850045049,c,9,30,9,40,241,241.5
7850045049,c,9,30,9,40,241.5,242
7850045049,c,9,40,9,50,240,240.5
7850045049,c,9,40,9,50,240.5,241
7850045049,c,9,40,9,50,241,241.5
7850045049,c,9,40,9,50,241.5,242
7850045049,c,9,50,10,0,240,240.5
7850045049,c,9,50,10,0,240.5,241
7850045049,c,9,50,10,0,241,241.5
7850045049,c,9,50,10,0,241.5,242
7850045049,c,10,0,10,10,240,240.5
7850045049,c,10,0,10,10,240.5,241
7850045049,c,10,0,10,10,241,241.5
7850045049,c,10,0,10,10,241.5,242
7850045049,c,10,10,10,20,240,240.5
7850045049,c,10,10,10,20,240.5,241
7850045049,c,10,10,10,20,241,241.5
7850045049,c,10,20,10,30,240,240.5
7850045049,c,10,20,10,30,240.5,241
7850045049,c,10,20,10,30,241,241.5
7937446782,c,16,0,16,10,3.5,4
7937446782,c,16,10,16,20,3,3.5
7937446782,c,16,10,16,20,3.5,4
7937446782,c,16,15,16,25,2.5,3
7937446782,c,16,20,16,30,3,3.5
7937446782,c,16,20,16,30,3.5,4
7937446782,c,16,25,16,35,2.5,3
7937446782,c,16,30,16,40,3,3.5
7937446782,c,16,35,16,45,2.5,3
7937446782,c,16,45,16,55,2.5,3
7937446782,c,17,5,17,15,2.5,3
7937446782,c,17,15,17,25,2,2.5
7937446782,c,17,15,17,25,2.5,3
7955810682,ac,7,15,7,25,50,55.5
7955810682,c,7,15,7,25,55.5,56
7955810682,c,7,15,7,25,56,56.5
7955810682,c,7,25,7,35,50,55.5
7955810682,c,7,25,7,35,55.5,56
7955810682,c,7,25,7,35,56,56.5
7955810682,c,7,35,7,45,50,55.5
7955810682,c,7,35,7,45,55.5,56
7955810682,c,7,35,7,45,56,56.5
7955810682,c,7,45,7,55,50,55.5
7955810682,c,7,45,7,55,56,56.5
7960837437,c,17,30,17,40,3.5,4
7960837437,c,17,35,17,45,2.5,3
7960837437,c,17,35,17,45,2.75,3.25
7960837437,c,17,45,17,55,2.5,3
7960837437,c,17,55,18,5,3.25,3.75
7960837437,c,18,0,18,10,3,3.5
8004377095,c,10,35,10,45,0.5,1
8012898356,c,6,5,6,15,170.5,171
8012898356,c,6,15,6,25,169.5,170
8012898356,c,6,15,6,25,170,170.5
8012898356,c,6,15,6,25,170.5,171
8012898356,c,6,25,6,35,169.5,170
8012898356,c,6,25,6,35,170,170.5
8012898356,c,6,25,6,35,170.5,171
8012898356,c,6,30,6,40,169,169.5
8012898356,c,6,35,6,45,169.5,170
8012898356,c,6,35,6,45,170,170.5
8012898356,c,6,35,6,45,170.5,171
8012898356,c,6,40,6,50,169,169.5
8012898356,c,6,45,6,55,169.5,170
8012898356,c,6,45,6,55,170,170.5
8012898356,c,6,45,6,55,170.5,171
8012898356,c,6,50,7,0,169,169.5
8012898356,c,6,50,7,0,169.5,170
8012898356,c,6,50,7,0,170,170.5
8012898356,c,6,50,7,0,170.5,171
8013789860,c,5,50,6,0,171,171.5
8013789860,c,6,5,6,15,169.5,170
8013789860,c,6,5,6,15,170,170.5
8013789860,c,6,5,6,15,170.5,171
8013789860,c,6,5,6,15,171,171.5
8013789860,c,6,15,6,25,169.5,170
8013789860,c,6,15,6,25,170,170.5
8013789860,c,6,15,6,25,170.5,171
8013789860,c,6,15,6,25,171,171.5
8013789860,c,6,25,6,35,169.5,170
8013789860,c,6,25,6,35,170,170.5
8013789860,c,6,25,6,35,170.5,171
8013789860,c,6,25,6,35,171,171.5
8013789860,c,6,35,6,45,169.5,170
8013789860,c,6,35,6,45,170,170.5
8013789860,c,6,35,6,45,170.5,171
8013789860,c,6,35,6,45,171,171.5
8013789860,c,6,45,6,55,169.5,170
8013789860,c,6,45,6,55,170,170.5
8013789860,c,6,45,6,55,170.5,171
8013789860,c,6,45,6,55,171,171.5
8013789860,c,6,55,7,5,169.5,170
8013789860,c,6,55,7,5,170,170.5
8013789860,c,6,55,7,5,170.5,171
8014079300,c,6,35,6,45,131,131.5
8014079300,c,6,45,6,55,131,131.5
8014079300,c,6,55,7,5,130.5,131
8014079300,c,6,55,7,5,131,131.5
8014079300,c,7,5,7,15,131,131.5
8014433557,c,7,20,7,30,122.5,123
8014433557,c,7,20,7,30,123,123.5
8014433557,c,7,20,7,30,123.5,124
8014433557,c,7,30,7,40,122.5,123
8014433557,c,7,30,7,40,123,123.5
8014433557,c,7,30,7,40,123.5,124
8030176490,c,16,40,16,50,5.25,5.75
8030689510,c,17,15,17,25,2,2.5
8030689510,c,17,15,17,25,2.5,3
8030689510,c,17,15,17,25,3,3.5
8030689510,c,17,15,17,25,3.5,4
8030689510,c,17,25,17,35,2,2.5
8030689510,c,17,25,17,35,2.5,3
8030689510,c,17,25,17,35,3,3.5
8030689510,c,17,25,17,35,3.5,4
8030689510,c,17,35,17,45,2,2.5
8030689510,c,17,35,17,45,2.5,3
8030689510,c,17,35,17,45,3,3.5
8030689510,c,17,35,17,45,3.5,4
8030689510,c,17,45,17,55,2,2.5
8030689510,c,17,45,17,55,2.5,3
8030689510,c,17,45,17,55,3,3.5
8030689510,c,17,45,17,55,3.5,4
8030689510,c,17,55,18,5,2,2.5
8030689510,c,17,55,18,5,2.5,3
8030689510,c,17,55,18,5,3,3.5
8030689510,c,17,55,18,5,3.5,4
8030798391,c,17,20,17,30,12.75,13.25
8030798391,c,17,30,17,40,11.5,12
8030798391,c,17,30,17,40,12,12.5
8030798391,c,17,30,17,40,12.5,13
8030798391,c,17,40,17,50,11.5,12
8030798391,c,17,40,17,50,12,12.5
8030798391,c,17,40,17,50,12.5,13
8030798391,c,17,50,18,0,11.5,12
8030798391,c,17,50,18,0,12,12.5
8030798391,c,17,50,18,0,12.5,13
8030798391,c,18,0,18,10,12,12.5
8030798391,c,18,0,18,10,12.5,13
8031196756,c,17,15,17,25,1.5,2
8031196756,c,17,15,17,25,2,2.5
8031196756,c,17,20,17,30,1,1.5
8031196756,c,17,25,17,35,1.5,2
8031196756,c,17,25,17,35,2,2.5
8031196756,c,17,30,17,40,1,1.5
8031196756,c,17,35,17,45,1.5,2
8031196756,c,17,35,17,45,2,2.5
8031196756,c,17,45,17,55,1.5,2
8031196756,c,17,45,17,55,2,2.5
8031196756,c,17,55,18,5,1.5,2
8031196756,c,17,55,18,5,2,2.5
8054166242,c,18,20,18,30,187,187.5
8073517943,c,10,35,10,45,18.5,19
8073517943,c,10,45,10,55,18.5,19
8076664372,c,17,0,17,10,138.5,139
8076664372,c,17,10,17,20,137.25,137.75
8076664372,c,17,10,17,20,137.5,138
8076664372,c,17,10,17,20,138,138.5
8076664372,c,17,10,17,20,138.5,139
8076664372,c,17,15,17,25,137.25,137.75
8076664372,c,17,15,17,25,137.5,138
8076664372,c,17,15,17,25,138,138.5
8076664372,c,17,15,17,25,138.5,139
8076664372,c,17,20,17,30,137.25,137.75
8076664372,c,17,20,17,30,137.5,138
8076664372,c,17,20,17,30,138,138.5
8076664372,c,17,20,17,30,138.5,139
8076664372,c,17,25,17,35,137.25,137.75
8076664372,c,17,25,17,35,137.5,138
8076664372,c,17,25,17,35,138,138.5
8076664372,c,17,25,17,35,138.5,139
8076664372,c,17,30,17,40,137.25,137.75
8076664372,c,17,30,17,40,137.5,138
8076664372,c,17,30,17,40,138,138.5
8076664372,c,17,30,17,40,138.5,139
8076664372,c,17,35,17,45,137.25,137.75
8076664372,c,17,35,17,45,137.5,138
8076664372,c,17,35,17,45,138,138.5
8076664372,c,17,35,17,45,138.5,139
8076664372,c,17,40,17,50,137.25,137.75
8076664372,c,17,40,17,50,137.5,138
8076664372,c,17,40,17,50,138,138.5
8076664372,c,17,40,17,50,138.5,139
8076664372,c,17,45,17,55,137.25,137.75
8076664372,c,17,45,17,55,137.5,138
8076664372,c,17,45,17,55,138,138.5
8076664372,c,17,45,17,55,138.5,139
8076664372,c,17,50,18,0,137.25,137.75
8076664372,c,17,50,18,0,137.5,138
8076664372,c,17,50,18,0,138,138.5
8076664372,c,17,50,18,0,138.5,139
8084773687,c,9,50,10,0,19.75,20.25
8084773687,c,9,50,10,0,20,20.5
8084773687,c,9,50,10,0,20.25,20.75
8084773687,c,10,0,10,10,19.75,20.25
8084773687,c,10,0,10,10,20,20.5
8084773687,c,10,0,10,10,20.25,20.75
8084773687,c,10,10,10,20,19.75,20.25
8084773687,c,10,10,10,20,20,20.5
8084773687,c,10,10,10,20,20.25,20.75
8084773687,c,10,20,10,30,19.75,20.25
8084773687,c,10,20,10,30,20,20.5
8084773687,c,10,20,10,30,20.25,20.75
8088268955,c,17,20,17,30,137.5,138
8088268955,c,17,20,17,30,138,138.5
8088268955,c,17,20,17,30,138.5,139
8088268955,c,17,25,17,35,137.5,138
8088268955,c,17,25,17,35,138,138.5
